s;98330
s;98331
s;98332
s;98333
s;98334
s;98335
s;98336
q;426027
q;426028
q;426029
m;262198
m;262199
m;262200
m;262201
m;262202
m;262203
m;262204
m;262205
m;262206
m;262207
m;294913
q;426030
q;426031
s;98337
s;98338
s;98339
s;98340
s;98341
s;98342
s;98343
q;491520
q;491521
q;491522
m;294914
m;294915
m;294917
m;294919
m;294920
m;294921
m;294922
m;294923
m;294925
m;294926
m;294927
q;491523
q;491524
s;1
s;2
s;3
s;4
s;5
s;6
s;7
q;0
q;1
q;2
m;32783
m;32784
m;32785
m;32786
m;32787
m;32788
m;32789
m;32790
m;32791
m;32792
m;32793
q;3
q;4
s;8
s;9
s;10
s;11
s;12
s;13
s;14
q;32768
q;32769
q;32770
m;32794
m;32795
m;32796
m;32797
m;32798
m;32799
m;32800
m;32801
m;32802
m;32803
m;32804
q;32771
q;32772
